participant,id,context,text
P19,17,P19 Speaker:A,"A: That's typically where it is. You know I have a really great picture of a downlight. And it's And typically I know which show it is associated with, unless I have moved it to another show. I have a sense of what this image is and then it ties it back to a show from there. And so. One of the ways we teach our students is to talk about creating morgues. Um, morgues of images. Yeah I know it sounds a little creepy. Um, but, to sort of get that recall but also know that you have a set of images, you have a set of ideas, that you know have already analyzed these pictures. And that's' essentially what all of those books are in the end. I could probably take all of the research out and put it into one place, because there's a lot of other stuff in those binders as well. But to create a central sort of research place is really useful because you know you already done the initial work of analyzing that image so you don't have to figure out where that light is coming from."
P20,18,P20 Speaker:R,"R: I see, bring it back to life"
P21,19,P21 Speaker:R,R: So why morgue?
P22,20,P22 Speaker:A,A: It's just a collection of.
P23,21,P23 Speaker:R,R: A collection of corpuses? It's a pun?
P24,22,P24 Speaker:A,A: [laughing] Yes it is. The students are always like Uhh...
P25,23,P25 Speaker:R,"R: We were talking about um, this meeting and we have projector on a screen. What else happens? You have a projector on the screen and maybe bring in Pinterest at what point?"
P26,24,P26 Speaker:A,A: Often we start by talking through what your individual design concept is? So the director will always have some kind of overall production concept. Then all of the designers within that have their own ideas. So the lighting is going to fall from warm to cool as the relationship falls apart and we are going to kind of shift angles so that we get a lot more shadows on the faces so it's not as clean and bright as it was when it started.
P27,25,P27 Speaker:A,"A: So share you design concept as a whole, and pull up Pinterest and say, in the beginning we don't have many shadows everything is warm and sunny. Here's an image of a beautiful happy day. Here is the color we are going to put on the actors skin. This is the overall mood we are trying to get to, which would be one pinboard, probably, and then shift to the end of the play and go to that pinboard or go through the individual element. If there are particular elements, specifically with lighting, I typically can't find one image that has the right color with the right angle with exactly the right mood. And so I'm going to have to go through several images to communicate all of that information."
P28,26,P28 Speaker:A,"A: But what's great about Pinterest is that when you do look at that board as a whole, instead of the individual pictures, you get an overall sense of where you're going. Um. Whereas with individual pictures what I had to used to have to do is basically print them out and collage them on the table so you get that same sense. What I do find frustrating about Pinterest, and maybe I just haven't played with it enough, because lord knows I know a lot of people that will spend hours and hours on Pinterest  And I'm really using it as a tool to communicate. But find it frustrating that I cannot collage them. to share that information in the way that I want. And so it's sort of whatever got there first and then I have to flip through. So you still get a sense of college but not the way I would have designed it. Does that make sense?"
P29,27,P29 Speaker:R,R: That makes total sense. I don't think you are even able to change the ordering. It is chronological.
